Max Temp,Cloudiness,Humidity,Country,Wind Speed,Lng,City,Lat,Date,parsed_time
50,90,81,AR,28.86,-68.3,Ushuaia,-54.8,1580002384,2020-01-26 01:33:04
43,75,60,JP,2.24,139,Tochio,37.47,1580002385,2020-01-26 01:33:05
79.77,100,82,NC,21.39,164.02,Poum,-20.23,1580002386,2020-01-26 01:33:06
66.49,57,52,NZ,8.52,168.33,Bluff,-46.6,1580002387,2020-01-26 01:33:07
79.11,0,77,PF,10.22,-134.97,Rikitea,-23.12,1580002388,2020-01-26 01:33:08
70.99,100,98,CG,1.3,12.73,Mossendjo,-2.95,1580002389,2020-01-26 01:33:09
59,90,66,US,10.29,-95.58,Lamar,33.67,1580002391,2020-01-26 01:33:11
87.01,23,65,AU,19.46,153.1,Sawtell,-30.38,1580002392,2020-01-26 01:33:12
80.6,75,94,MY,1.68,115.75,Beaufort,5.35,1580002393,2020-01-26 01:33:13
36,90,97,US,3.36,-79.24,Jamestown,42.1,1580002394,2020-01-26 01:33:14
31.82,100,68,NO,26.13,13.5,Gravdal,68.12,1580002395,2020-01-26 01:33:15
84.2,100,83,CK,11.41,-159.78,Avarua,-21.21,1580002396,2020-01-26 01:33:16
59,40,93,HK,16.11,114.16,Hong Kong,22.29,1580002380,2020-01-26 01:33:00
50,75,66,CL,23.04,-70.92,Punta Arenas,-53.15,1580002398,2020-01-26 01:33:18
85.51,100,72,KI,9.89,172.79,Butaritari,3.07,1580002400,2020-01-26 01:33:20
66.2,0,55,AR,11.41,-57.56,Mar del Plata,-38,1580002140,2020-01-26 01:29:00
84.47,5,73,MY,4.34,118.33,Lahad Datu,5.03,1580002402,2020-01-26 01:33:22
-17.93,100,96,RU,2.71,161.3,Cherskiy,68.75,1580002403,2020-01-26 01:33:23
82.4,20,78,TO,4.7,-173.98,Neiafu,-18.65,1580002404,2020-01-26 01:33:24
73.56,98,51,IN,0.89,78.88,Vemalwada,18.47,1580002405,2020-01-26 01:33:25
48,75,75,JP,3.36,135.8,Nara,34.69,1580002406,2020-01-26 01:33:26
80.01,88,70,LK,14.27,81.82,Kalmunai,7.42,1580002407,2020-01-26 01:33:27
-22.23,100,86,RU,5.99,147.92,Chokurdakh,70.63,1580002408,2020-01-26 01:33:28
44.6,90,81,US,23.04,-135.33,Sitka,57.05,1580002384,2020-01-26 01:33:04
60.01,75,93,ZA,9.17,18.42,Cape Town,-33.93,1580002411,2020-01-26 01:33:31
80.6,40,74,US,10.29,-159.32,Kapaa,22.08,1580002188,2020-01-26 01:29:48
45,100,93,GB,11.41,-0.64,Grantham,52.91,1580002413,2020-01-26 01:33:33
41,75,86,JP,5.82,140.3,Katsuura,35.13,1580002414,2020-01-26 01:33:34
80.87,70,78,PF,15.28,-139.03,Atuona,-9.8,1580002193,2020-01-26 01:29:53
77.65,64,58,NZ,0.58,168.86,Mataura,-46.19,1580002416,2020-01-26 01:33:36
3.2,75,84,RU,11.18,88.4,Talnakh,69.49,1580002418,2020-01-26 01:33:38
76.39,0,74,TC,12.33,-71.14,Cockburn Town,21.46,1580002419,2020-01-26 01:33:39
50,20,93,PT,3.36,-8.33,Lata,40.16,1580002420,2020-01-26 01:33:40
28.4,100,74,GL,28.86,-37.64,Tasiilaq,65.61,1580002421,2020-01-26 01:33:41
77.61,69,67,VE,1.12,-67.62,Puerto Ayacucho,5.66,1580002422,2020-01-26 01:33:42
-0.4,7,59,SJ,3.36,15.64,Longyearbyen,78.22,1580002423,2020-01-26 01:33:43
65.59,3,80,UY,5.46,-53.46,Chui,-33.7,1580002217,2020-01-26 01:30:17
80.6,90,88,TO,12.75,-175.2,Vaini,-21.2,1580002425,2020-01-26 01:33:45
71.01,90,100,MX,5.82,-105.2,Ixtapa,20.7,1580002426,2020-01-26 01:33:46
26.04,0,73,CA,8.97,-55.15,Marystown,47.17,1580002428,2020-01-26 01:33:48
60.8,83,87,ZA,11.41,17.94,Saldanha,-33.01,1580002429,2020-01-26 01:33:49
1.87,100,98,RU,10.38,39.51,Ostrovnoy,68.05,1580002430,2020-01-26 01:33:50
57.2,40,87,PT,3.36,-25.43,Vila Franca do Campo,37.72,1580002432,2020-01-26 01:33:52
81,0,61,AU,1.99,148.68,Cowra,-33.83,1580002433,2020-01-26 01:33:53
45,100,100,NO,24.16,5.14,Raudeberg,61.99,1580002434,2020-01-26 01:33:54
85.62,0,71,AU,9.53,116.85,Karratha,-20.74,1580002261,2020-01-26 01:31:01
70,40,77,MX,3.36,-109.91,Cabo San Lucas,22.89,1580002369,2020-01-26 01:32:49
39.99,90,93,US,9.17,-73.97,Albany,42.6,1580002187,2020-01-26 01:29:47
77.85,92,80,SO,16.26,48.53,Hobyo,5.35,1580002185,2020-01-26 01:29:45
-20.2,90,75,US,10.29,-156.79,Barrow,71.29,1580002440,2020-01-26 01:34:00
-12.55,98,96,RU,4.12,178.42,Leningradskiy,69.38,1580002441,2020-01-26 01:34:01
53.29,0,68,IN,4.23,80.47,Maholi,27.67,1580002442,2020-01-26 01:34:02
